City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
283,Urumqi,CN,2022-08-01 04:44:02,43.801,87.6005,81.55,39,0,6.71
284,Tabuk,PH,2022-08-01 04:47:44,17.4189,121.4443,83.44,77,100,2.71
285,Latung,PH,2022-08-01 04:47:44,5.5,120.8833,82.54,71,99,5.46
286,Kontagora,NG,2022-08-01 04:47:45,10.3999,5.4695,69.15,97,51,6.69
287,Teya,RU,2022-08-01 04:47:45,60.3778,92.6267,63.77,44,100,7.9
288,Port Hawkesbury,CA,2022-08-01 04:47:46,45.6169,-61.3485,68.74,79,0,6.91
289,Moyale,KE,2022-08-01 04:47:46,3.5167,39.0584,64.81,74,100,12.48
290,Vilyuysk,RU,2022-08-01 04:47:47,63.7553,121.6247,66.58,93,100,4.72
291,Calafell,ES,2022-08-01 04:47:48,41.2,1.5683,77.61,83,21,4.23
292,Sakakah,SA,2022-08-01 04:47:48,29.9697,40.2064,87.37,18,79,2.37
293,Pasir Gudang,MY,2022-08-01 04:47:49,1.4584,103.8805,88.23,70,40,5.75
294,Yaan,NG,2022-08-01 04:47:50,7.3833,8.5667,71.04,97,100,6.06
