City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
302,rohnert park,US,38.3396,-122.7011,87.67,52,0,9.22,clear sky
303,komsomolskiy,UZ,40.4272,71.7189,79.23,25,6,2.98,clear sky
304,nizhneudinsk,RU,54.9076,99.0276,48.25,83,4,2.64,clear sky
305,qandala,SO,11.472,49.8728,89.47,49,97,10.74,overcast clouds
306,kalmunai,LK,7.4167,81.8167,79.03,70,94,4.32,overcast clouds
307,bushehr,IR,28.9684,50.8385,93.29,66,0,0.0,haze
308,klaksvik,FO,62.2266,-6.589,54.52,99,98,15.73,overcast clouds
309,patiya,BD,22.2931,91.9762,76.06,96,99,4.54,overcast clouds
310,nicoya,CR,10.1483,-85.452,79.09,83,100,4.47,overcast clouds
311,bafra,TR,41.5678,35.9069,75.81,86,2,6.22,clear sky
312,egvekinot,RU,66.3167,-179.1667,38.1,41,46,14.23,scattered clouds
313,birao,CF,10.2849,22.7882,71.65,97,91,4.7,light rain
314,kadirli,TR,37.3739,36.0961,79.02,78,96,3.56,overcast clouds
315,cherskiy,RU,68.75,161.3,44.2,60,94,1.92,overcast clouds
316,pasighat,IN,28.0667,95.3333,80.33,82,85,2.84,overcast clouds
317,coihaique,CL,-45.5752,-72.0662,39.15,75,100,4.61,overcast clouds
318,zheshart,RU,62.0731,49.5733,63.39,90,61,3.96,broken clouds
319,beira,MZ,-19.8436,34.8389,66.94,86,0,7.49,clear sky
320,fukue,JP,32.6881,128.8419,83.03,82,62,11.68,broken clouds
321,muros,ES,42.7762,-9.0603,69.67,93,45,2.21,scattered clouds
322,martapura,ID,-3.4167,114.85,73.49,88,63,0.0,broken clouds
323,padang,ID,-0.9492,100.3543,75.25,85,84,2.71,broken clouds
324,vila velha,BR,-20.3297,-40.2925,76.95,81,0,12.66,clear sky
325,sao luiz gonzaga,BR,-28.4083,-54.9608,56.34,86,100,11.1,overcast clouds
326,acapulco,MX,16.8634,-99.8901,85.82,74,75,9.22,broken clouds
327,bojnurd,IR,37.4747,57.329,75.15,60,75,11.5,light intensity shower rain
328,chilliwack,CA,49.1747,-121.9443,90.52,41,0,4.61,clear sky
329,blagoyevo,RU,63.3667,47.9167,59.72,95,78,4.97,broken clouds
330,olga,RU,43.7444,135.2892,72.34,100,100,5.26,moderate rain
331,bassar,TG,9.25,0.7833,72.54,81,28,3.31,scattered clouds
332,ryotsu,JP,38.0833,138.4333,81.61,82,91,6.98,overcast clouds
333,kokopo,PG,-4.352,152.2633,79.63,75,49,5.86,scattered clouds
334,bauchi,NG,10.5,10.0,72.9,91,100,4.05,light rain
335,roros,NO,62.5747,11.3842,40.84,93,51,0.0,broken clouds
336,muisne,EC,0.6,-80.0333,74.89,83,86,8.28,overcast clouds
